round,tile,deal_in_count,round_total,rate_%
0,5s,30078,689573,4.361829712010186
0,5m,28665,689573,4.156920297053394
0,5p,28117,689573,4.077450828266188
0,7m,27643,689573,4.008712638110831
0,7s,27582,689573,3.9998665841034957
0,7p,27542,689573,3.994065892951145
0,3m,27369,689573,3.968977903717228
0,3p,27325,689573,3.962597143449642
0,3s,27110,689573,3.9314184285057565
0,2m,25027,689573,3.6293474367470884
0,8s,25019,689573,3.628187298516618
0,8m,24961,689573,3.6197762963457096
0,6s,24899,689573,3.610785225059566
0,6m,24897,689573,3.6104951905019482
0,8p,24889,689573,3.609335052271478
0,4m,24866,689573,3.6059996548588766
0,4p,24669,689573,3.577431250933549
0,4s,24587,689573,3.5655398340712297
0,6p,24521,689573,3.555968693669851
0,2s,24306,689573,3.5247899787259653
0,2p,18617,689573,2.699786679582872
0,1m,17575,689573,2.5486786750641337
0,9p,17268,689573,2.5041583704698414
0,9s,17202,689573,2.4945872300684626
0,1s,17120,689573,2.4826958132061434
0,9m,13092,689573,1.8985662141644177
0,1p,12854,689573,1.8640521018079304
0,中,8466,689573,1.2277162823950474
0,白,8275,689573,1.2000179821425723
0,發,8215,689573,1.191316945414046
0,東,7884,689573,1.1433162261283432
0,北,6441,689573,0.934056292807288
0,西,6279,689573,0.9105634936402672
0,南,6213,689573,0.9009923532388884
1,5s,29641,678663,4.367557977965499
1,5m,28104,678663,4.141083276972518
1,5p,27732,678663,4.086269621299525
1,3p,27030,678663,3.982830948497266
1,7s,26978,678663,3.9751688245859875
1,7m,26921,678663,3.966769957990932
1,3m,26775,678663,3.9452570716246504
1,7p,26687,678663,3.932290400390179
1,3s,26450,678663,3.8973687971791597
1,8m,24989,678663,3.6820925849795847
1,2m,24753,678663,3.6473183303053207
1,8p,24717,678663,3.642013782982128
1,8s,24613,678663,3.626689535159571
1,6p,24560,678663,3.618880062711537
1,4m,24560,678663,3.618880062711537
1,4p,24504,678663,3.6106285446532373
1,2s,24392,678663,3.5941255085366373
1,6s,24306,678663,3.581453534375677
1,6m,24284,678663,3.578211866567059
1,4s,24163,678663,3.560382693619661
1,2p,18396,678663,2.7106236821515246
1,1m,17124,678663,2.5231963433987117
1,9s,17058,678663,2.5134713399728583
1,9p,17048,678663,2.511997854605305
1,1s,16893,678663,2.4891588314082247
1,1p,12831,678663,1.8906290751079697
1,9m,12768,678663,1.8813461172923822
1,中,8153,678663,1.2013326201664154
1,白,7980,678663,1.175841323307739
1,發,7914,678663,1.1661163198818854
1,東,7866,678663,1.1590435901176284
1,北,6266,678663,0.9232859313090591
1,西,6142,678663,0.905014712751395
1,南,6065,678663,0.8936688754212326
2,5s,28674,664018,4.318256432807544
2,5m,27306,664018,4.112237921261171
2,5p,27229,664018,4.100641850070329
2,7m,26605,664018,4.0066684939263695
2,3p,26489,664018,3.9891990879765307
2,7s,26340,664018,3.9667599372306173
2,7p,26318,664018,3.963446774033234
2,3m,26224,664018,3.9492905312807784
2,3s,26135,664018,3.935887280164092
2,2s,24271,664018,3.6551719983494424
2,8m,24238,664018,3.6502022535533674
2,8s,24067,664018,3.624449939610071
2,8p,24045,664018,3.6211367764126874
2,4s,24041,664018,3.6205343831040726
2,6m,24034,664018,3.619480194813996
2,2m,24033,664018,3.619329596486842
2,4m,23833,664018,3.589209931056086
2,6s,23742,664018,3.5755054832850917
2,6p,23741,664018,3.575354884957938
2,4p,23713,664018,3.571138131797632
2,2p,18071,664018,2.721462369995994
2,9p,16867,664018,2.5401419841028408
2,1m,16559,664018,2.4937576993394757
2,9s,16557,664018,2.4934565026851683
2,1s,16437,664018,2.4753847034267142
2,9m,12509,664018,1.8838344743666586
2,1p,12396,664018,1.8668168633982813
2,中,8159,664018,1.2287317512477072
2,白,7990,664018,1.203280633958718
2,發,7914,664018,1.1918351610950306
2,東,7666,664018,1.1544867759608926
2,西,6063,664018,0.9130776575333801
2,北,5971,664018,0.8992226114352322
2,南,5781,664018,0.8706089292760136
3,5s,27851,644324,4.32251475965508
3,5m,26912,644324,4.1767806258962885
3,5p,26391,644324,4.095920685866117
3,3m,25603,644324,3.9736219665882384
3,3s,25459,644324,3.9512729620501488
3,7m,25434,644324,3.9473929265400636
3,7s,25359,644324,3.935752820009809
3,3p,25308,644324,3.9278375475692355
3,7p,25272,644324,3.922250296434713
3,8m,23571,644324,3.6582526803285305
3,2m,23562,644324,3.6568558675448997
3,8p,23382,644324,3.6289196118722877
3,6m,23323,644324,3.6197627280684874
3,8s,23300,644324,3.616193095399209
3,4p,23296,644324,3.6155722897175955
3,2s,23272,644324,3.611847455627914
3,4m,23235,644324,3.606105003072988
3,6s,23005,644324,3.570408676380206
