各 round 放铳率（按牌种）
放铳率 = 该牌放铳次数 / 该 round 总放铳次数 × 100%
================================================================================

── 東1局 (round=0)  — 总放铳 689,573 次 ──
   牌      放铳率        次数
------------------------------
  5s    4.36%    30,078
  5m    4.16%    28,665
  5p    4.08%    28,117
  7m    4.01%    27,643
  7s    4.00%    27,582
  7p    3.99%    27,542
  3m    3.97%    27,369
  3p    3.96%    27,325
  3s    3.93%    27,110
  2m    3.63%    25,027
  8s    3.63%    25,019
  8m    3.62%    24,961
  6s    3.61%    24,899
  6m    3.61%    24,897
  8p    3.61%    24,889
  4m    3.61%    24,866
  4p    3.58%    24,669
  4s    3.57%    24,587
  6p    3.56%    24,521
  2s    3.52%    24,306
  2p    2.70%    18,617
  1m    2.55%    17,575
  9p    2.50%    17,268
  9s    2.49%    17,202
  1s    2.48%    17,120
  9m    1.90%    13,092
  1p    1.86%    12,854
   中    1.23%     8,466
   白    1.20%     8,275
   發    1.19%     8,215
   東    1.14%     7,884
   北    0.93%     6,441
   西    0.91%     6,279
   南    0.90%     6,213

── 東2局 (round=1)  — 总放铳 678,663 次 ──
   牌      放铳率        次数
------------------------------
  5s    4.37%    29,641
  5m    4.14%    28,104
  5p    4.09%    27,732
  3p    3.98%    27,030
  7s    3.98%    26,978
  7m    3.97%    26,921
  3m    3.95%    26,775
  7p    3.93%    26,687
  3s    3.90%    26,450
  8m    3.68%    24,989
  2m    3.65%    24,753
  8p    3.64%    24,717
  8s    3.63%    24,613
  6p    3.62%    24,560
  4m    3.62%    24,560
  4p    3.61%    24,504
  2s    3.59%    24,392
  6s    3.58%    24,306
  6m    3.58%    24,284
  4s    3.56%    24,163
  2p    2.71%    18,396
  1m    2.52%    17,124
  9s    2.51%    17,058
  9p    2.51%    17,048
  1s    2.49%    16,893
  1p    1.89%    12,831
  9m    1.88%    12,768
   中    1.20%     8,153
   白    1.18%     7,980
   發    1.17%     7,914
   東    1.16%     7,866
   北    0.92%     6,266
   西    0.91%     6,142
   南    0.89%     6,065

── 東3局 (round=2)  — 总放铳 664,018 次 ──
   牌      放铳率        次数
------------------------------
  5s    4.32%    28,674
  5m    4.11%    27,306
  5p    4.10%    27,229
  7m    4.01%    26,605
  3p    3.99%    26,489
  7s    3.97%    26,340
  7p    3.96%    26,318
  3m    3.95%    26,224
  3s    3.94%    26,135
  2s    3.66%    24,271
  8m    3.65%    24,238
  8s    3.62%    24,067
  8p    3.62%    24,045
  4s    3.62%    24,041
  6m    3.62%    24,034
  2m    3.62%    24,033
  4m    3.59%    23,833
  6s    3.58%    23,742
  6p    3.58%    23,741
  4p    3.57%    23,713
  2p    2.72%    18,071
  9p    2.54%    16,867
  1m    2.49%    16,559
  9s    2.49%    16,557
  1s    2.48%    16,437
  9m    1.88%    12,509
  1p    1.87%    12,396
   中    1.23%     8,159
   白    1.20%     7,990
   發    1.19%     7,914
   東    1.15%     7,666
   西    0.91%     6,063
   北    0.90%     5,971
   南    0.87%     5,781

── 東4局 (round=3)  — 总放铳 644,324 次 ──
   牌      放铳率        次数
------------------------------
  5s    4.32%    27,851
  5m    4.18%    26,912
  5p    4.10%    26,391
  3m    3.97%    25,603
  3s    3.95%    25,459
  7m    3.95%    25,434
  7s    3.94%    25,359
  3p    3.93%    25,308
  7p    3.92%    25,272
  8m    3.66%    23,571
  2m    3.66%    23,562
  8p    3.63%    23,382
  6m    3.62%    23,323
  8s    3.62%    23,300
  4p    3.62%    23,296
  2s    3.61%    23,272
  4m    3.61%    23,235
  6s    3.57%    23,005
  6p    3.57%    22,971
  4s    3.56%    22,951
  2p    2.66%    17,154
  1s    2.53%    16,308
  1m    2.51%    16,195
  9p    2.51%    16,192
  9s    2.51%    16,173
  1p    1.90%    12,272
  9m    1.88%    12,085
   中    1.25%     8,070
   發    1.22%     7,831
   白    1.19%     7,641
   東    1.15%     7,437
   北    0.92%     5,936
   西    0.91%     5,845
   南    0.89%     5,728

── 南1局 (round=4)  — 总放铳 620,710 次 ──
   牌      放铳率        次数
------------------------------
  5s    4.38%    27,201
  5m    4.10%    25,459
  5p    4.10%    25,451
  3m    4.01%    24,888
  3p    3.95%    24,539
  7s    3.95%    24,512
  3s    3.92%    24,342
  7m    3.92%    24,317
  7p    3.92%    24,306
  2m    3.66%    22,709
  8m    3.64%    22,611
  8s    3.63%    22,560
  6m    3.63%    22,505
  8p    3.61%    22,417
  2s    3.61%    22,406
  6p    3.60%    22,363
  4s    3.59%    22,282
  4m    3.59%    22,272
  4p    3.58%    22,227
  6s    3.55%    22,064
  2p    2.76%    17,158
  9p    2.53%    15,681
  9s    2.51%    15,584
  1s    2.51%    15,553
  1m    2.50%    15,543
  9m    1.88%    11,676
  1p    1.85%    11,469
   中    1.23%     7,610
   白    1.21%     7,520
   南    1.21%     7,487
   發    1.19%     7,403
   西    0.91%     5,640
   北    0.91%     5,624
   東    0.86%     5,331

── 南2局 (round=5)  — 总放铳 588,678 次 ──
   牌      放铳率        次数
------------------------------
  5s    4.38%    25,782
  5p    4.16%    24,491
  5m    4.12%    24,255
  3m    3.99%    23,497
  7p    3.95%    23,278
  7s    3.94%    23,216
  3s    3.92%    23,080
  3p    3.92%    23,052
  7m    3.89%    22,918
  8m    3.65%    21,462
  8s    3.63%    21,374
  8p    3.63%    21,368
  4m    3.63%    21,359
  6p    3.61%    21,258
  6m    3.61%    21,245
  6s    3.60%    21,207
  2m    3.59%    21,118
  4s    3.58%    21,103
  2s    3.58%    21,073
  4p    3.56%    20,957
  2p    2.72%    15,993
  1m    2.55%    14,996
  9p    2.51%    14,799
  9s    2.50%    14,699
  1s    2.48%    14,577
  1p    1.90%    11,206
  9m    1.87%    11,026
   中    1.26%     7,398
   發    1.22%     7,198
   白    1.22%     7,195
   南    1.20%     7,083
   北    0.90%     5,277
   西    0.90%     5,271
   東    0.83%     4,867

── 南3局 (round=6)  — 总放铳 557,222 次 ──
   牌      放铳率        次数
------------------------------
  5s    4.35%    24,266
  5m    4.18%    23,283
  5p    4.06%    22,602
  3s    3.97%    22,109
  3p    3.96%    22,079
