流式读取并并发转换...
  500 logs  109 logs/s
  1000 logs  108 logs/s
  1500 logs  81 logs/s
  2000 logs  80 logs/s
  2500 logs  78 logs/s
  3000 logs  82 logs/s
  3500 logs  79 logs/s
  4000 logs  70 logs/s
  4500 logs  67 logs/s
  5000 logs  68 logs/s
  5500 logs  64 logs/s
  6000 logs  64 logs/s
  6500 logs  64 logs/s
  7000 logs  66 logs/s
  7500 logs  66 logs/s
  8000 logs  66 logs/s
  8500 logs  67 logs/s
  9000 logs  66 logs/s
  9500 logs  65 logs/s
  10000 logs  66 logs/s
  10500 logs  65 logs/s
  11000 logs  66 logs/s
  11500 logs  65 logs/s
  12000 logs  65 logs/s
  12500 logs  66 logs/s
  13000 logs  66 logs/s
  13500 logs  65 logs/s
  14000 logs  65 logs/s
  14500 logs  65 logs/s
  15000 logs  66 logs/s
  15500 logs  66 logs/s
  16000 logs  65 logs/s
  16500 logs  64 logs/s
  17000 logs  65 logs/s
  17500 logs  64 logs/s
  18000 logs  64 logs/s
  18500 logs  64 logs/s
  19000 logs  65 logs/s
  19500 logs  65 logs/s
  20000 logs  65 logs/s
  20500 logs  65 logs/s
  21000 logs  65 logs/s
  21500 logs  65 logs/s
  22000 logs  65 logs/s
  22500 logs  66 logs/s
  23000 logs  66 logs/s
  23500 logs  65 logs/s
  24000 logs  65 logs/s
  24500 logs  65 logs/s
  25000 logs  65 logs/s
  25500 logs  64 logs/s
  26000 logs  65 logs/s
  26500 logs  65 logs/s
  27000 logs  65 logs/s
  27500 logs  65 logs/s
  28000 logs  65 logs/s
  28500 logs  64 logs/s
  29000 logs  64 logs/s
  29500 logs  64 logs/s
  30000 logs  64 logs/s
  30500 logs  64 logs/s
  31000 logs  64 logs/s
  31500 logs  64 logs/s
  32000 logs  64 logs/s
  32500 logs  64 logs/s
  33000 logs  64 logs/s
  33500 logs  64 logs/s
  34000 logs  64 logs/s
  34500 logs  64 logs/s
  35000 logs  65 logs/s
  35500 logs  65 logs/s
  36000 logs  65 logs/s
  36500 logs  64 logs/s
  37000 logs  64 logs/s
  37500 logs  64 logs/s
  38000 logs  64 logs/s
  38500 logs  64 logs/s
  39000 logs  65 logs/s
  39500 logs  64 logs/s
  40000 logs  64 logs/s
  40500 logs  65 logs/s
  41000 logs  65 logs/s
  41500 logs  65 logs/s
  42000 logs  65 logs/s
  42500 logs  65 logs/s
  43000 logs  65 logs/s
  43500 logs  65 logs/s
  44000 logs  65 logs/s
  44500 logs  65 logs/s
  45000 logs  65 logs/s
  45500 logs  65 logs/s
  46000 logs  65 logs/s
  46500 logs  65 logs/s
  47000 logs  65 logs/s
  47500 logs  65 logs/s
  48000 logs  65 logs/s
  48500 logs  65 logs/s
  49000 logs  65 logs/s
  49500 logs  65 logs/s
  50000 logs  65 logs/s
  50500 logs  65 logs/s
  51000 logs  65 logs/s
  51500 logs  65 logs/s
  52000 logs  65 logs/s
  52500 logs  65 logs/s
  53000 logs  65 logs/s
  53500 logs  65 logs/s
  54000 logs  65 logs/s
  54500 logs  65 logs/s
  55000 logs  65 logs/s
  55500 logs  65 logs/s
  56000 logs  65 logs/s
  56500 logs  65 logs/s
  57000 logs  65 logs/s
  57500 logs  65 logs/s
  58000 logs  65 logs/s
  58500 logs  65 logs/s
  59000 logs  65 logs/s
  59500 logs  65 logs/s
  60000 logs  65 logs/s
  60500 logs  65 logs/s
  61000 logs  65 logs/s
  61500 logs  65 logs/s
  62000 logs  65 logs/s
  62500 logs  65 logs/s
  63000 logs  65 logs/s
  63500 logs  65 logs/s
  64000 logs  65 logs/s
  64500 logs  65 logs/s
  65000 logs  65 logs/s
  65500 logs  65 logs/s
  66000 logs  65 logs/s
  66500 logs  65 logs/s
  67000 logs  65 logs/s
  67500 logs  65 logs/s
  68000 logs  65 logs/s
  68500 logs  65 logs/s
  69000 logs  64 logs/s
  69500 logs  64 logs/s
  70000 logs  64 logs/s
  70500 logs  64 logs/s
  71000 logs  64 logs/s
  71500 logs  64 logs/s
  72000 logs  64 logs/s
  72500 logs  64 logs/s
  73000 logs  64 logs/s
  73500 logs  64 logs/s
  74000 logs  64 logs/s
  74500 logs  64 logs/s
  75000 logs  64 logs/s
  75500 logs  64 logs/s
  76000 logs  64 logs/s
  76500 logs  64 logs/s
  77000 logs  64 logs/s
  77500 logs  64 logs/s
  78000 logs  64 logs/s
  78500 logs  64 logs/s
  79000 logs  64 logs/s
  79500 logs  64 logs/s
  80000 logs  64 logs/s
  80500 logs  64 logs/s
  81000 logs  64 logs/s
  81500 logs  65 logs/s
  82000 logs  65 logs/s
  82500 logs  65 logs/s
  83000 logs  65 logs/s
  83500 logs  65 logs/s
  84000 logs  65 logs/s
  84500 logs  65 logs/s
  85000 logs  65 logs/s
  85500 logs  66 logs/s
  86000 logs  66 logs/s
  86500 logs  66 logs/s
  87000 logs  66 logs/s
  87500 logs  66 logs/s
  88000 logs  66 logs/s
  88500 logs  66 logs/s
  89000 logs  66 logs/s
  89500 logs  66 logs/s
  90000 logs  67 logs/s
  90500 logs  67 logs/s
  91000 logs  67 logs/s
  91500 logs  67 logs/s
  92000 logs  67 logs/s
  92500 logs  67 logs/s
  93000 logs  67 logs/s
  93500 logs  67 logs/s
  94000 logs  67 logs/s
  94500 logs  67 logs/s
  95000 logs  67 logs/s
  95500 logs  68 logs/s
  96000 logs  68 logs/s
  96500 logs  68 logs/s
  97000 logs  68 logs/s
  97500 logs  68 logs/s
  98000 logs  68 logs/s
  98500 logs  68 logs/s
  99000 logs  68 logs/s
  99500 logs  68 logs/s
  100000 logs  68 logs/s
  100500 logs  68 logs/s
  101000 logs  68 logs/s
  101500 logs  68 logs/s
  102000 logs  68 logs/s
  102500 logs  68 logs/s
  103000 logs  69 logs/s
  103500 logs  69 logs/s
  104000 logs  69 logs/s
  104500 logs  69 logs/s
  105000 logs  69 logs/s
  105500 logs  69 logs/s
  106000 logs  69 logs/s
  106500 logs  69 logs/s
  107000 logs  69 logs/s
  107500 logs  69 logs/s
  108000 logs  69 logs/s
  108500 logs  69 logs/s
  109000 logs  69 logs/s
  109500 logs  69 logs/s
  110000 logs  69 logs/s
  110500 logs  69 logs/s
  111000 logs  70 logs/s
  111500 logs  70 logs/s
  112000 logs  70 logs/s
  112500 logs  70 logs/s
  113000 logs  70 logs/s
  113500 logs  70 logs/s
  114000 logs  70 logs/s
  114500 logs  70 logs/s
  115000 logs  70 logs/s
  115500 logs  70 logs/s
  116000 logs  70 logs/s
  116500 logs  70 logs/s
  117000 logs  70 logs/s
  117500 logs  71 logs/s
  118000 logs  71 logs/s
  118500 logs  71 logs/s
  119000 logs  71 logs/s
  119500 logs  71 logs/s
  120000 logs  71 logs/s
  120500 logs  71 logs/s
  121000 logs  71 logs/s
  121500 logs  71 logs/s
  122000 logs  71 logs/s
  122500 logs  71 logs/s
  123000 logs  71 logs/s
  123500 logs  71 logs/s
  124000 logs  71 logs/s
  124500 logs  71 logs/s
  125000 logs  71 logs/s
  125500 logs  71 logs/s
  126000 logs  71 logs/s
  126500 logs  71 logs/s
  127000 logs  72 logs/s
  127500 logs  72 logs/s
  128000 logs  72 logs/s
  128500 logs  72 logs/s
  129000 logs  72 logs/s
  129500 logs  72 logs/s
  130000 logs  72 logs/s
  130500 logs  72 logs/s
  131000 logs  72 logs/s
  131500 logs  72 logs/s
  132000 logs  72 logs/s
  132500 logs  72 logs/s
  133000 logs  72 logs/s
  133500 logs  72 logs/s
  134000 logs  72 logs/s
  134500 logs  72 logs/s
  135000 logs  72 logs/s
  135500 logs  72 logs/s
  136000 logs  73 logs/s
  136500 logs  73 logs/s
  137000 logs  73 logs/s
  137500 logs  73 logs/s
  138000 logs  73 logs/s
  138500 logs  73 logs/s
  139000 logs  73 logs/s
  139500 logs  73 logs/s
  140000 logs  73 logs/s
  140500 logs  73 logs/s
  141000 logs  73 logs/s
  141500 logs  73 logs/s
  142000 logs  73 logs/s
  142500 logs  73 logs/s
  143000 logs  73 logs/s
  143500 logs  73 logs/s
  144000 logs  73 logs/s
  144500 logs  73 logs/s
  145000 logs  73 logs/s
  145500 logs  73 logs/s
  146000 logs  74 logs/s
  146500 logs  74 logs/s
  147000 logs  74 logs/s
  147500 logs  74 logs/s
  148000 logs  74 logs/s
  148500 logs  74 logs/s
  149000 logs  74 logs/s
  149500 logs  74 logs/s
  150000 logs  74 logs/s
  150500 logs  74 logs/s
  151000 logs  74 logs/s
  151500 logs  74 logs/s
  152000 logs  74 logs/s
  152500 logs  74 logs/s
  153000 logs  74 logs/s
  153500 logs  74 logs/s
  154000 logs  74 logs/s
  154500 logs  74 logs/s
  155000 logs  74 logs/s
  155500 logs  74 logs/s
  156000 logs  74 logs/s
  156500 logs  74 logs/s
  157000 logs  74 logs/s
  157500 logs  74 logs/s
  158000 logs  74 logs/s
  158500 logs  74 logs/s
  159000 logs  74 logs/s
  159500 logs  75 logs/s
  160000 logs  75 logs/s
  160500 logs  75 logs/s
  161000 logs  75 logs/s
  161500 logs  75 logs/s
  162000 logs  75 logs/s
  162500 logs  75 logs/s
  163000 logs  75 logs/s
  163500 logs  75 logs/s
  164000 logs  75 logs/s
  164500 logs  75 logs/s
  165000 logs  75 logs/s
  165500 logs  75 logs/s
  166000 logs  75 logs/s
  166500 logs  75 logs/s
  167000 logs  75 logs/s
  167500 logs  75 logs/s
  168000 logs  75 logs/s
  168500 logs  75 logs/s
  169000 logs  75 logs/s
  169500 logs  75 logs/s
  170000 logs  75 logs/s
  170500 logs  75 logs/s
  171000 logs  75 logs/s
  171500 logs  75 logs/s
  172000 logs  75 logs/s
  172500 logs  75 logs/s
  173000 logs  75 logs/s
  173500 logs  75 logs/s
  174000 logs  75 logs/s
  174500 logs  75 logs/s
  175000 logs  75 logs/s
  175500 logs  75 logs/s
  176000 logs  76 logs/s
  176500 logs  76 logs/s
  177000 logs  76 logs/s
  177500 logs  76 logs/s
  178000 logs  76 logs/s
  178500 logs  76 logs/s
  179000 logs  76 logs/s
  179500 logs  76 logs/s
  180000 logs  76 logs/s
  180500 logs  76 logs/s
  181000 logs  76 logs/s
  181500 logs  76 logs/s
  182000 logs  76 logs/s
  182500 logs  76 logs/s
  183000 logs  76 logs/s
  183500 logs  76 logs/s
  184000 logs  76 logs/s
  184500 logs  76 logs/s
  185000 logs  76 logs/s
  185500 logs  76 logs/s
  186000 logs  76 logs/s
  186500 logs  76 logs/s
  187000 logs  76 logs/s
  187500 logs  76 logs/s
  188000 logs  76 logs/s
  188500 logs  76 logs/s
  189000 logs  76 logs/s
  189500 logs  76 logs/s
  190000 logs  76 logs/s
  190500 logs  76 logs/s
  191000 logs  76 logs/s
  191500 logs  76 logs/s
  192000 logs  76 logs/s
  192500 logs  77 logs/s
  193000 logs  77 logs/s
  193500 logs  77 logs/s
  194000 logs  77 logs/s
  194500 logs  77 logs/s
  195000 logs  77 logs/s
  195500 logs  77 logs/s
  196000 logs  77 logs/s
  196500 logs  77 logs/s
  197000 logs  77 logs/s
  197500 logs  77 logs/s
  198000 logs  77 logs/s
  198500 logs  77 logs/s
  199000 logs  77 logs/s
  199500 logs  77 logs/s
  200000 logs  77 logs/s
  200500 logs  77 logs/s
  201000 logs  77 logs/s
  201500 logs  77 logs/s
  202000 logs  77 logs/s
  202500 logs  77 logs/s
  203000 logs  77 logs/s
  203500 logs  77 logs/s
  204000 logs  77 logs/s
  204500 logs  77 logs/s
  205000 logs  77 logs/s
  205500 logs  77 logs/s
  206000 logs  77 logs/s
  206500 logs  77 logs/s
  207000 logs  77 logs/s
  207500 logs  77 logs/s
  208000 logs  77 logs/s
  208500 logs  77 logs/s
  209000 logs  77 logs/s
  209500 logs  77 logs/s
  210000 logs  77 logs/s
  210500 logs  77 logs/s
  211000 logs  77 logs/s
  211500 logs  77 logs/s
  212000 logs  77 logs/s
  212500 logs  77 logs/s
  213000 logs  77 logs/s
  213500 logs  77 logs/s
  214000 logs  77 logs/s
  214500 logs  77 logs/s
  215000 logs  77 logs/s
  215500 logs  77 logs/s
  216000 logs  77 logs/s
  216500 logs  77 logs/s
  217000 logs  77 logs/s
  217500 logs  77 logs/s
  218000 logs  78 logs/s
  218500 logs  78 logs/s
  219000 logs  78 logs/s
  219500 logs  78 logs/s
  220000 logs  78 logs/s
  220500 logs  78 logs/s
  221000 logs  78 logs/s
  221500 logs  78 logs/s
  222000 logs  78 logs/s
  222500 logs  78 logs/s
  223000 logs  78 logs/s
  223500 logs  78 logs/s
  224000 logs  78 logs/s
  224500 logs  78 logs/s
  225000 logs  78 logs/s
  225500 logs  78 logs/s
  226000 logs  78 logs/s
  226500 logs  78 logs/s
  227000 logs  78 logs/s
  227500 logs  78 logs/s
  228000 logs  78 logs/s
  228500 logs  78 logs/s
  229000 logs  78 logs/s
  229500 logs  78 logs/s
  230000 logs  78 logs/s
  230500 logs  78 logs/s
  231000 logs  78 logs/s
  231500 logs  78 logs/s
  232000 logs  78 logs/s
  232500 logs  78 logs/s
  233000 logs  78 logs/s
  233500 logs  78 logs/s
  234000 logs  78 logs/s
  234500 logs  78 logs/s
  235000 logs  78 logs/s
  235500 logs  78 logs/s
  236000 logs  78 logs/s
  236500 logs  78 logs/s
  237000 logs  78 logs/s
  237500 logs  78 logs/s
  238000 logs  78 logs/s
  238500 logs  78 logs/s
  239000 logs  78 logs/s
  239500 logs  78 logs/s
  240000 logs  78 logs/s
  240500 logs  79 logs/s
  241000 logs  78 logs/s
  241500 logs  79 logs/s
  242000 logs  79 logs/s
  242500 logs  79 logs/s
  243000 logs  79 logs/s
  243500 logs  79 logs/s
  244000 logs  79 logs/s
  244500 logs  79 logs/s
  245000 logs  79 logs/s
  245500 logs  79 logs/s
  246000 logs  79 logs/s
  246500 logs  79 logs/s
  247000 logs  79 logs/s
  247500 logs  79 logs/s
  248000 logs  79 logs/s
  248500 logs  79 logs/s
  249000 logs  79 logs/s
  249500 logs  79 logs/s
  250000 logs  79 logs/s
  250500 logs  79 logs/s
  251000 logs  79 logs/s
  251500 logs  79 logs/s
  252000 logs  79 logs/s
  252500 logs  79 logs/s
  253000 logs  79 logs/s
  253500 logs  79 logs/s
  254000 logs  79 logs/s
  254500 logs  79 logs/s
  255000 logs  79 logs/s
  255500 logs  79 logs/s
  256000 logs  79 logs/s
  256500 logs  79 logs/s
  257000 logs  79 logs/s
  257500 logs  79 logs/s
  258000 logs  79 logs/s
  258500 logs  79 logs/s
  259000 logs  79 logs/s
  259500 logs  79 logs/s
  260000 logs  79 logs/s
  260500 logs  79 logs/s
  261000 logs  79 logs/s
  261500 logs  79 logs/s
  262000 logs  79 logs/s
  262500 logs  79 logs/s
  263000 logs  79 logs/s
  263500 logs  79 logs/s
  264000 logs  79 logs/s
  264500 logs  79 logs/s
  265000 logs  79 logs/s
  265500 logs  79 logs/s
  266000 logs  79 logs/s
  266500 logs  79 logs/s
  267000 logs  79 logs/s
  267500 logs  79 logs/s
  268000 logs  79 logs/s
  268500 logs  79 logs/s
  269000 logs  79 logs/s
  269500 logs  79 logs/s
  270000 logs  79 logs/s
  270500 logs  79 logs/s
  271000 logs  79 logs/s
  271500 logs  79 logs/s
  272000 logs  79 logs/s
  272500 logs  79 logs/s
  273000 logs  79 logs/s
  273500 logs  79 logs/s
  274000 logs  79 logs/s
  274500 logs  80 logs/s
  275000 logs  79 logs/s
  275500 logs  79 logs/s
  276000 logs  80 logs/s
  276500 logs  80 logs/s
  277000 logs  80 logs/s
  277500 logs  80 logs/s
  278000 logs  80 logs/s
  278500 logs  80 logs/s
  279000 logs  80 logs/s
  279500 logs  80 logs/s
  280000 logs  80 logs/s
  280500 logs  80 logs/s
  281000 logs  80 logs/s
  281500 logs  80 logs/s
  282000 logs  80 logs/s
  282500 logs  80 logs/s
  283000 logs  80 logs/s
  283500 logs  80 logs/s
  284000 logs  80 logs/s
  284500 logs  80 logs/s
  285000 logs  80 logs/s
  285500 logs  80 logs/s
  286000 logs  80 logs/s
  286500 logs  80 logs/s
  287000 logs  80 logs/s
  287500 logs  80 logs/s
  288000 logs  80 logs/s
  288500 logs  80 logs/s
  289000 logs  80 logs/s
  289500 logs  80 logs/s
  290000 logs  80 logs/s
  290500 logs  80 logs/s
  291000 logs  80 logs/s
  291500 logs  80 logs/s
  292000 logs  80 logs/s
  292500 logs  80 logs/s
  293000 logs  80 logs/s
  293500 logs  80 logs/s
  294000 logs  80 logs/s
  294500 logs  80 logs/s
  295000 logs  80 logs/s
  295500 logs  80 logs/s
  296000 logs  80 logs/s
  296500 logs  80 logs/s
  297000 logs  80 logs/s
  297500 logs  80 logs/s
  298000 logs  80 logs/s
  298500 logs  80 logs/s
  299000 logs  80 logs/s
  299500 logs  80 logs/s
  300000 logs  80 logs/s
  300500 logs  80 logs/s
  301000 logs  80 logs/s
  301500 logs  80 logs/s
  302000 logs  80 logs/s
  302500 logs  80 logs/s
  303000 logs  80 logs/s
  303500 logs  80 logs/s
  304000 logs  80 logs/s
  304500 logs  80 logs/s
  305000 logs  80 logs/s
  305500 logs  80 logs/s
  306000 logs  80 logs/s
  306500 logs  80 logs/s
  307000 logs  80 logs/s
  307500 logs  80 logs/s
  308000 logs  80 logs/s
  308500 logs  80 logs/s
  309000 logs  80 logs/s
  309500 logs  80 logs/s
  310000 logs  80 logs/s
  310500 logs  80 logs/s
  311000 logs  80 logs/s
  311500 logs  80 logs/s
  312000 logs  80 logs/s
  312500 logs  80 logs/s
  313000 logs  80 logs/s
  313500 logs  80 logs/s
  314000 logs  80 logs/s
  314500 logs  80 logs/s
  315000 logs  80 logs/s
  315500 logs  80 logs/s
  316000 logs  80 logs/s
  316500 logs  80 logs/s
  317000 logs  80 logs/s
  317500 logs  80 logs/s
  318000 logs  80 logs/s
  318500 logs  80 logs/s
  319000 logs  80 logs/s
  319500 logs  81 logs/s
  320000 logs  81 logs/s
  320500 logs  81 logs/s
  321000 logs  81 logs/s
  321500 logs  81 logs/s
  322000 logs  81 logs/s
  322500 logs  81 logs/s
  323000 logs  81 logs/s
  323500 logs  81 logs/s
  324000 logs  81 logs/s
  324500 logs  81 logs/s
  325000 logs  81 logs/s
  325500 logs  81 logs/s
  326000 logs  81 logs/s
  326500 logs  81 logs/s
  327000 logs  81 logs/s
  327500 logs  81 logs/s
  328000 logs  81 logs/s
  328500 logs  81 logs/s
  329000 logs  81 logs/s
  329500 logs  81 logs/s
  330000 logs  81 logs/s
  330500 logs  81 logs/s
  331000 logs  81 logs/s
